epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,17042.4,0.12861,0.39407,0.89457,0.94915,1,0.995,0.97162,0.18469,0.21452,0.73328,0.000660299,0.000660299,0.000660299
63,17319.1,0.12802,0.39946,0.89637,0.90641,0.98876,0.995,0.96952,0.19221,0.23799,0.73353,0.000643795,0.000643795,0.000643795
64,17592.7,0.12571,0.38692,0.89534,0.71825,1,0.995,0.9799,0.17289,0.64042,0.65775,0.000627292,0.000627292,0.000627292
65,17866.7,0.1222,0.38324,0.89055,0.96392,1,0.995,0.97162,0.15927,0.14001,0.58271,0.000610789,0.000610789,0.000610789
66,18140.3,0.12228,0.37903,0.8957,0.90577,0.98814,0.995,0.97162,0.19861,0.22534,0.71726,0.000594286,0.000594286,0.000594286
67,18414.2,0.11793,0.37452,0.89039,0.82834,0.97835,0.995,0.97581,0.1563,0.31706,0.55836,0.000577782,0.000577782,0.000577782
68,18687.8,0.11383,0.38288,0.88457,0.87773,1,0.995,0.98018,0.18364,0.26035,0.66979,0.000561279,0.000561279,0.000561279
69,18961.5,0.1221,0.3781,0.89211,0.87706,0.98308,0.995,0.97581,0.18171,0.24499,0.64196,0.000544776,0.000544776,0.000544776
70,19234.7,0.11754,0.37497,0.88899,0.82032,0.98755,0.995,0.98018,0.20089,0.29109,0.7462,0.000528272,0.000528272,0.000528272
71,19509.1,0.11713,0.37459,0.88819,0.75479,0.96307,0.995,0.98131,0.17152,0.44426,0.64712,0.000511769,0.000511769,0.000511769
72,19782.3,0.11731,0.36451,0.89119,0.90581,0.98576,0.995,0.97487,0.21613,0.25459,0.83398,0.000495266,0.000495266,0.000495266
73,20056.4,0.11287,0.35352,0.8876,0.94063,0.85427,0.995,0.96929,0.21283,0.29579,0.83566,0.000478762,0.000478762,0.000478762
